caseid,feelings_life,place_birth_canada,citizenship_status,aboriginal,vis_minority,marital_status,education,self_rated_health,self_rated_mental_health,income_family,income_respondent,number_total_children_intention,is_male
31,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Good,4,"$125,000 and more","$25,000 to $49,999",0,0
32,7,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
33,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Excellent,5,"Less than $25,000","Less than $25,000",3,1
34,10,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
35,8,Born in Canada,By birth,No,Not a visible minority,Separated,5,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
36,10,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,3,"$25,000 to $49,999","Less than $25,000",NA,1
37,7,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",6,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",0,1
38,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,0
39,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Excellent,4,"$125,000 and more","Less than $25,000",0,1
40,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Excellent,5,"$75,000 to $99,999","Less than $25,000",NA,1
41,10,Born in Canada,By birth,No,Not a visible minority,Married,1,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
42,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,5,Excellent,5,"$100,000 to $ 124,999","$50,000 to $74,999",0,0
43,8,Born in Canada,By birth,No,Visible minority,"Single, never married",3,Good,3,"$25,000 to $49,999","$25,000 to $49,999",3,0
44,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$100,000 to $ 124,999","$50,000 to $74,999",0,1
45,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,1,Fair,1,"$50,000 to $74,999","Less than $25,000",NA,0
46,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Excellent,5,"$125,000 and more","$125,000 and more",NA,1
47,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,4,"$50,000 to $74,999","$50,000 to $74,999",2,1
48,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Fair,3,"$100,000 to $ 124,999","$100,000 to $ 124,999",0,1
49,8,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,0,"$25,000 to $49,999","$25,000 to $49,999",NA,0
50,9,Born in Canada,By birth,No,Not a visible minority,Separated,1,Good,4,"Less than $25,000","Less than $25,000",NA,1
51,8,Born in Canada,By birth,Yes,Not a visible minority,Living common-law,2,Poor,1,"$75,000 to $99,999","Less than $25,000",0,0
52,8,Born outside Canada,By naturalization,NA,Not a visible minority,Living common-law,7,Good,4,"Less than $25,000","Less than $25,000",NA,1
53,5,Born outside Canada,NA,NA,Not a visible minority,Separated,2,Good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
54,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$125,000 and more","$125,000 and more",NA,1
55,9,Born in Canada,By birth,No,Not a visible minority,Separated,7,Excellent,5,"$100,000 to $ 124,999","$100,000 to $ 124,999",0,0
56,7,Born in Canada,By birth,No,Not a visible minority,Separated,3,Fair,5,"$75,000 to $99,999","$75,000 to $99,999",0,1
57,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Good,4,"$100,000 to $ 124,999","$50,000 to $74,999",NA,0
58,10,Born in Canada,By birth,Yes,Not a visible minority,Married,1,Fair,3,"$75,000 to $99,999","Less than $25,000",NA,0
59,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Good,3,"$75,000 to $99,999","$25,000 to $49,999",NA,1
60,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Fair,3,"$75,000 to $99,999","$75,000 to $99,999",NA,1
61,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,1,Good,5,"$100,000 to $ 124,999","$25,000 to $49,999",NA,0
62,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Good,5,"Less than $25,000","Less than $25,000",NA,0
63,6,Born in Canada,By birth,No,Not a visible minority,Separated,3,Fair,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
64,9,Born outside Canada,By naturalization,NA,Not a visible minority,Married,6,Very good,4,"$125,000 and more","Less than $25,000",0,0
65,7,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,3,"$25,000 to $49,999","Less than $25,000",NA,0
66,9,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Very good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
67,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Very good,4,"$125,000 and more","$25,000 to $49,999",NA,0
68,5,Born in Canada,By birth,No,Not a visible minority,Widowed,3,Very good,4,"$50,000 to $74,999","Less than $25,000",NA,0
69,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,4,"$75,000 to $99,999","$25,000 to $49,999",0,0
70,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Fair,1,"Less than $25,000","Less than $25,000",NA,1
71,9,Born outside Canada,NA,No,Not a visible minority,Married,2,Excellent,5,"$75,000 to $99,999","$25,000 to $49,999",NA,1
72,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Excellent,5,"$100,000 to $ 124,999","$50,000 to $74,999",0,0
73,6,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Good,5,"$25,000 to $49,999","$25,000 to $49,999",0,1
74,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"Less than $25,000","Less than $25,000",2,0
75,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,4,"Less than $25,000","Less than $25,000",2,0
76,10,Born in Canada,By birth,No,Visible minority,Married,3,Excellent,5,"$125,000 and more","$25,000 to $49,999",0,1
77,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,4,"$125,000 and more","Less than $25,000",0,0
78,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Very good,4,"$75,000 to $99,999","$25,000 to $49,999",2,0
79,6,Born outside Canada,By naturalization,NA,Visible minority,Married,6,Very good,4,"$125,000 and more","$25,000 to $49,999",NA,0
80,9,Born outside Canada,NA,NA,Visible minority,"Single, never married",1,Excellent,5,"$25,000 to $49,999","Less than $25,000",2,0
81,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Very good,4,"$75,000 to $99,999","Less than $25,000",2,0
82,7,Born in Canada,By birth,No,Don't know,Separated,6,Good,4,"$75,000 to $99,999","$75,000 to $99,999",2,1
83,8,Born outside Canada,NA,NA,Not a visible minority,Living common-law,1,Excellent,4,"Less than $25,000","Less than $25,000",2,0
84,8,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",6,Very good,3,"$100,000 to $ 124,999","$100,000 to $ 124,999",0,1
85,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Good,3,"$100,000 to $ 124,999","Less than $25,000",2,1
86,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
87,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$125,000 and more","Less than $25,000",NA,0
88,7,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Poor,4,"Less than $25,000","Less than $25,000",NA,0
89,7,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$100,000 to $ 124,999","$75,000 to $99,999",0,1
90,4,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Poor,1,"Less than $25,000","Less than $25,000",NA,1
91,NA,Born outside Canada,By naturalization,NA,NA,"Single, never married",7,Very good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
92,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,3,"$75,000 to $99,999","$75,000 to $99,999",NA,1
93,7,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",6,Fair,4,"Less than $25,000","Less than $25,000",3,1
94,NA,Born outside Canada,By naturalization,NA,Not a visible minority,Married,3,Good,3,"$25,000 to $49,999","Less than $25,000",NA,1
95,6,Born in Canada,By birth,No,Not a visible minority,Married,3,Fair,3,"Less than $25,000","Less than $25,000",NA,0
96,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
97,5,Born in Canada,By birth,No,Not a visible minority,Widowed,3,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
98,10,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
99,0,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",3,Poor,4,"$100,000 to $ 124,999","$75,000 to $99,999",NA,0
100,7,Born in Canada,By birth,No,Visible minority,"Single, never married",7,Good,3,"$50,000 to $74,999","$50,000 to $74,999",2,1
101,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
102,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,5,"$100,000 to $ 124,999","$25,000 to $49,999",0,0
103,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Very good,4,"$25,000 to $49,999","Less than $25,000",2,1
104,8,Born outside Canada,By naturalization,NA,Not a visible minority,Married,7,Excellent,3,"$25,000 to $49,999","Less than $25,000",NA,1
105,9,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
106,6,Born in Canada,By birth,No,Not a visible minority,Married,NA,Good,3,"$75,000 to $99,999","$25,000 to $49,999",2,1
107,4,Born outside Canada,By naturalization,NA,Visible minority,Married,2,Excellent,5,"$125,000 and more","$25,000 to $49,999",NA,0
108,10,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",6,Very good,5,"$125,000 and more","$125,000 and more",0,0
109,8,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,4,"$125,000 and more","$75,000 to $99,999",0,1
110,10,Born outside Canada,NA,NA,Visible minority,Married,3,Very good,3,"Less than $25,000","Less than $25,000",2,0
111,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,5,"$75,000 to $99,999","$75,000 to $99,999",NA,1
112,7,Born in Canada,By birth,No,Not a visible minority,Married,7,Good,4,"$125,000 and more","$125,000 and more",0,0
113,NA,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Excellent,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
114,9,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Very good,3,"Less than $25,000","Less than $25,000",NA,0
115,7,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",2,0
116,10,Born in Canada,By birth,Yes,Not a visible minority,Married,1,Good,4,"$75,000 to $99,999","$25,000 to $49,999",NA,1
117,8,Born in Canada,By birth,Yes,Not a visible minority,Married,3,Good,3,"$125,000 and more","$125,000 and more",NA,1
118,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Good,4,"$75,000 to $99,999","$50,000 to $74,999",0,1
119,9,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Poor,2,"$25,000 to $49,999","$25,000 to $49,999",0,0
120,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
121,8,Born outside Canada,NA,NA,Not a visible minority,Married,2,Excellent,5,"$75,000 to $99,999","$25,000 to $49,999",NA,0
122,10,Born outside Canada,By naturalization,NA,Visible minority,Married,6,Good,4,"$100,000 to $ 124,999","$75,000 to $99,999",NA,0
123,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$75,000 to $99,999","$50,000 to $74,999",0,1
124,6,Born in Canada,By birth,No,Not a visible minority,Divorced,7,Fair,1,"$25,000 to $49,999","$25,000 to $49,999",NA,0
125,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,1,Good,3,"$25,000 to $49,999","Less than $25,000",NA,0
126,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,3,"$75,000 to $99,999","$75,000 to $99,999",0,1
127,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Fair,1,"Less than $25,000","Less than $25,000",NA,1
128,10,Born outside Canada,NA,NA,Visible minority,Married,1,Excellent,4,"$75,000 to $99,999","$25,000 to $49,999",NA,1
129,2,Born outside Canada,By naturalization,NA,Visible minority,Divorced,3,Poor,2,"$50,000 to $74,999","$50,000 to $74,999",NA,0
130,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,4,"$125,000 and more","$75,000 to $99,999",0,0
131,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,5,"$100,000 to $ 124,999","$75,000 to $99,999",NA,0
132,9,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,5,"$75,000 to $99,999","$50,000 to $74,999",NA,1
133,NA,Born in Canada,By birth,No,Not a visible minority,Separated,1,Don't know,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
134,9,Born outside Canada,By naturalization,NA,Visible minority,Married,6,Very good,5,"$125,000 and more","$125,000 and more",3,1
135,8,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",6,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
136,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Poor,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
137,10,Born outside Canada,By naturalization,NA,Not a visible minority,Widowed,1,Fair,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
138,8,Born outside Canada,NA,NA,Visible minority,Living common-law,3,Excellent,5,"$75,000 to $99,999","$25,000 to $49,999",2,1
139,0,Born in Canada,By birth,No,Not a visible minority,Separated,1,Fair,3,"Less than $25,000","Less than $25,000",NA,1
140,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,5,Good,4,"$75,000 to $99,999","$50,000 to $74,999",0,1
141,9,Born in Canada,By birth,No,Not a visible minority,Married,5,Excellent,5,"$125,000 and more","Less than $25,000",2,1
142,10,Born in Canada,By birth,No,Not a visible minority,Married,7,Excellent,5,"$125,000 and more","$75,000 to $99,999",NA,1
143,6,Born outside Canada,By birth,NA,Not a visible minority,Married,6,Good,1,"$25,000 to $49,999","$25,000 to $49,999",NA,0
144,8,Born outside Canada,NA,NA,Not a visible minority,Widowed,1,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
145,8,Born in Canada,By birth,No,Not a visible minority,Separated,6,Excellent,4,"$25,000 to $49,999","$25,000 to $49,999",0,1
146,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,3,"$75,000 to $99,999","$50,000 to $74,999",NA,1
147,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$100,000 to $ 124,999","$25,000 to $49,999",2,0
148,8,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,0
149,6,Born outside Canada,By naturalization,NA,Visible minority,Living common-law,6,Fair,3,"$125,000 and more","Less than $25,000",NA,0
150,7,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",7,Good,3,"$125,000 and more","$75,000 to $99,999",0,0
151,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Very good,3,"$125,000 and more","Less than $25,000",2,0
152,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,3,"$125,000 and more","$75,000 to $99,999",2,1
153,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Very good,5,"$100,000 to $ 124,999","$50,000 to $74,999",0,0
154,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,4,"Less than $25,000","Less than $25,000",NA,0
155,9,Born in Canada,By birth,Yes,Not a visible minority,Married,3,Good,3,"Less than $25,000","Less than $25,000",NA,1
156,6,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",2,Good,4,"$125,000 and more","Less than $25,000",1,1
157,4,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",2,Good,1,"Less than $25,000","Less than $25,000",1,0
158,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Good,5,"$75,000 to $99,999","Less than $25,000",0,0
159,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
160,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
161,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Fair,3,"$25,000 to $49,999","$25,000 to $49,999",3,0
162,5,Born in Canada,By birth,No,Not a visible minority,Married,3,Fair,3,"$25,000 to $49,999","Less than $25,000",NA,0
163,9,Born in Canada,By birth,No,Not a visible minority,Divorced,7,Very good,5,"$125,000 and more","$125,000 and more",NA,0
164,8,Born in Canada,By birth,No,Not a visible minority,Divorced,6,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",NA,1
165,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,4,"$50,000 to $74,999","$50,000 to $74,999",NA,0
166,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,7,Very good,5,"$125,000 and more","$100,000 to $ 124,999",0,1
167,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,5,"$50,000 to $74,999","Less than $25,000",NA,0
168,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,5,"$125,000 and more","Less than $25,000",NA,0
169,7,Born outside Canada,By naturalization,NA,Visible minority,Married,6,Fair,3,"$125,000 and more","$25,000 to $49,999",2,0
170,8,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
171,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Excellent,4,"$125,000 and more","Less than $25,000",2,0
172,10,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,4,"$125,000 and more","$75,000 to $99,999",NA,1
173,1,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Poor,4,"Less than $25,000","Less than $25,000",NA,1
174,10,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Good,3,"$50,000 to $74,999","$50,000 to $74,999",NA,1
175,7,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Poor,5,"Less than $25,000","Less than $25,000",NA,1
176,10,Born outside Canada,By naturalization,NA,Not a visible minority,"Single, never married",2,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
177,9,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Very good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
178,10,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,0,"$25,000 to $49,999","Less than $25,000",NA,0
179,10,Born in Canada,By birth,No,Not a visible minority,Married,1,Good,5,"$75,000 to $99,999","$25,000 to $49,999",NA,1
180,9,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
181,7,Born in Canada,By birth,No,Not a visible minority,Married,2,Excellent,5,"$75,000 to $99,999","$50,000 to $74,999",NA,0
182,7,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Good,3,"$50,000 to $74,999","$50,000 to $74,999",NA,1
183,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,3,"$25,000 to $49,999","$25,000 to $49,999",0,1
184,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
185,5,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",2,Good,1,"$25,000 to $49,999","Less than $25,000",0,0
186,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Excellent,5,"$125,000 and more","$75,000 to $99,999",2,0
187,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
188,10,Born in Canada,By birth,No,Visible minority,"Single, never married",3,Very good,5,"Less than $25,000","Less than $25,000",3,0
189,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,4,"$125,000 and more","$50,000 to $74,999",NA,0
190,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,5,"$75,000 to $99,999","$25,000 to $49,999",NA,1
191,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
192,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Good,4,"$25,000 to $49,999","$25,000 to $49,999",2,0
193,9,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Excellent,3,"$50,000 to $74,999","$50,000 to $74,999",NA,1
194,7,Born outside Canada,NA,No,Not a visible minority,Widowed,2,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
195,8,Born in Canada,By birth,No,Not a visible minority,Married,7,Excellent,5,"$125,000 and more","$125,000 and more",NA,1
196,7,Born outside Canada,NA,NA,Visible minority,Married,6,Excellent,3,"$125,000 and more","$25,000 to $49,999",0,1
197,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,5,"$125,000 and more","$75,000 to $99,999",NA,1
198,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$125,000 and more","$100,000 to $ 124,999",NA,0
199,5,Born in Canada,By birth,No,Not a visible minority,Married,6,Fair,1,"$75,000 to $99,999","$50,000 to $74,999",NA,1
200,NA,Born in Canada,By birth,Yes,Not a visible minority,Separated,1,Poor,3,"$50,000 to $74,999","$50,000 to $74,999",0,1
201,8,Born in Canada,By birth,No,Not a visible minority,Married,NA,Very good,4,"$100,000 to $ 124,999","$25,000 to $49,999",NA,0
202,10,Born outside Canada,By naturalization,NA,Not a visible minority,Married,6,Excellent,5,"$125,000 and more","$100,000 to $ 124,999",NA,1
203,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,5,"$75,000 to $99,999","$75,000 to $99,999",NA,0
204,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",3,0
205,10,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Very good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
206,7,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
207,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$125,000 and more","$125,000 and more",NA,1
208,6,Born in Canada,By birth,No,Not a visible minority,Separated,5,Good,3,"$50,000 to $74,999","$50,000 to $74,999",0,0
209,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Fair,1,"$125,000 and more","$50,000 to $74,999",NA,0
210,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$25,000 to $49,999","Less than $25,000",NA,0
211,9,Born outside Canada,By naturalization,NA,Not a visible minority,Married,2,Very good,3,"$25,000 to $49,999","Less than $25,000",NA,1
212,9,Born in Canada,By birth,No,Not a visible minority,Married,7,Good,5,"$125,000 and more","$100,000 to $ 124,999",NA,1
213,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Good,3,"$75,000 to $99,999","Less than $25,000",NA,0
214,10,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Very good,5,"Less than $25,000","Less than $25,000",NA,0
215,7,Born outside Canada,NA,NA,Don't know,Married,6,Very good,4,"$25,000 to $49,999","Less than $25,000",0,0
216,9,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",3,Very good,4,"Less than $25,000","Less than $25,000",0,0
